id,estacion_id,fecha,valor
83629971,112,2019-04-28 09:55:00-05,0.00
83641538,5,2019-05-07 14:50:00-05,
83629970,112,2019-04-28 09:50:00-05,0.00
83629985,112,2019-04-28 11:05:00-05,0.00
83636528,5,2019-05-06 18:20:00-05,
83629986,112,2019-04-28 11:10:00-05,0.00
83639633,5,2019-05-07 07:00:00-05,
83636168,2,2019-05-06 16:50:00-05,
83640919,8,2019-05-07 12:00:00-05,
83629992,112,2019-04-28 11:40:00-05,0.00
83638251,5,2019-05-07 01:00:00-05,
83639564,5,2019-05-07 06:50:00-05,
83636127,2,2019-05-06 16:40:00-05,
83629990,112,2019-04-28 11:30:00-05,0.00
83629975,112,2019-04-28 10:15:00-05,0.00
83638287,2,2019-05-07 01:10:00-05,
83642076,2,2019-05-07 17:00:00-05,
83631175,5,2019-05-06 11:20:00-05,
83638818,5,2019-05-07 03:20:00-05,
83637048,5,2019-05-06 20:30:00-05,
83629974,112,2019-04-28 10:10:00-05,0.00
83636727,2,2019-05-06 19:10:00-05,
83636328,5,2019-05-06 17:30:00-05,
83631559,5,2019-05-06 13:00:00-05,
83629979,112,2019-04-28 10:35:00-05,0.00
83640274,2,2019-05-07 10:00:00-05,
83629978,112,2019-04-28 10:30:00-05,0.00
83638212,10,2019-05-07 00:50:00-05,
83629984,112,2019-04-28 11:00:00-05,0.00
83638060,2,2019-05-07 00:10:00-05,
83629972,112,2019-04-28 10:00:00-05,0.00
83629981,112,2019-04-28 10:45:00-05,0.00
83637008,5,2019-05-06 20:20:00-05,
83641009,10,2019-05-07 12:30:00-05,
83629989,112,2019-04-28 11:25:00-05,0.00
83629977,112,2019-04-28 10:25:00-05,0.00
83629969,112,2019-04-28 09:45:00-05,0.00
83629991,112,2019-04-28 11:35:00-05,0.00
83629983,112,2019-04-28 10:55:00-05,0.00
83640069,5,2019-05-07 09:00:00-05,
83629988,112,2019-04-28 11:20:00-05,0.00
83629987,112,2019-04-28 11:15:00-05,0.00
83637821,5,2019-05-06 23:10:00-05,
83629973,112,2019-04-28 10:05:00-05,0.00
83629982,112,2019-04-28 10:50:00-05,0.00
83636488,2,2019-05-06 18:10:00-05,
83629980,112,2019-04-28 10:40:00-05,0.00
83629976,112,2019-04-28 10:20:00-05,0.00
83632045,5,2019-05-06 15:10:00-05,
83629968,112,2019-04-28 09:40:00-05,0.00
