"id","estacion_id","fecha","valor"
"83602319","10","2019-05-05 21:10:00-05",NULL
"83603262","2","2019-05-06 01:00:00-05",NULL
"83604224","10","2019-05-06 05:10:00-05",NULL
"83601599","10","2019-05-05 17:50:00-05",NULL
"83604331","2","2019-05-06 05:40:00-05",NULL
"83601487","82","2019-05-05 17:15:00-05","0.00"
"83601484","85","2019-05-05 17:10:00-05","0.00"
"83601473","4","2019-05-05 17:15:00-05","0.00"
"83601489","73","2019-05-05 17:15:00-05","0.00"
"83603923","2","2019-05-06 03:40:00-05",NULL
"83604982","5","2019-05-05 11:00:00-05",NULL
"83603863","10","2019-05-06 03:30:00-05",NULL
"83601477","97","2019-05-05 17:15:00-05","0.00"
"83604590","10","2019-05-06 06:50:00-05",NULL
"83602067","10","2019-05-05 20:00:00-05",NULL
"83601475","96","2019-05-05 17:15:00-05","0.00"
"83603193","10","2019-05-06 00:40:00-05",NULL
"83604857","10","2019-05-06 07:20:00-05",NULL
"83601485","60","2019-05-05 17:15:00-05","0.00"
"83601469","82","2019-05-05 17:10:00-05","0.00"
"83605301","2","2019-05-06 07:50:00-05",NULL
"83601478","79","2019-05-05 17:15:00-05","0.00"
"83601488","64","2019-05-05 17:15:00-05","0.00"
"83601468","88","2019-05-05 17:10:00-05","0.00"
"83604025","10","2019-05-06 04:10:00-05",NULL
"83605214","5","2019-05-06 03:30:00-05",NULL
"83601481","6","2019-05-05 17:15:00-05","0.00"
"83601472","70","2019-05-05 17:10:00-05","0.00"
"83601467","95","2019-05-05 17:10:00-05","0.00"
"83604688","5","2019-05-04 14:45:00-05",NULL
"83604059","2","2019-05-06 04:20:00-05",NULL
"83601466","60","2019-05-05 17:10:00-05","0.00"
"83603157","10","2019-05-06 00:30:00-05",NULL
"83601471","73","2019-05-05 17:10:00-05","0.00"
"83601474","65","2019-05-05 17:15:00-05","0.00"
"83601470","64","2019-05-05 17:10:00-05","0.00"
"83603295","2","2019-05-06 01:10:00-05",NULL
"83601479","10","2019-05-05 17:15:00-05","0.10"
"83604556","10","2019-05-06 06:40:00-05",NULL
"83601465","8","2019-05-05 17:10:00-05","0.00"
"83601483","95","2019-05-05 17:15:00-05","0.00"
"83601480","2","2019-05-05 17:15:00-05","0.00"
"83601486","88","2019-05-05 17:15:00-05","0.00"
"83604528","10","2019-05-06 06:30:00-05",NULL
"83601464","6","2019-05-05 17:10:00-05","0.00"
"83605259","5","2019-05-06 07:10:00-05",NULL
"83601482","8","2019-05-05 17:15:00-05","0.00"
"83604928","5","2019-05-05 07:55:00-05",NULL
"83603223","10","2019-05-06 00:50:00-05",NULL
"83604631","2","2019-05-06 07:00:00-05",NULL
